"no","name","cat","model","qty","cost","price","min"
"81160080","LAMP ASSY TURN SIGNAL RR RH","Electrical","TVS / Universal","0","425","500","5"
"81160150","LAMP ASSY TURN SIGNAL RR LH","Electrical","TVS / Universal","0","1479","1740","5"
"81160180","TURN SIGNAL ASSY FRONT LH","General Spare Parts","TVS / Universal","0","1479","1740","5"
"81160190","TURN SIGNAL ASSY FRONT RH","General Spare Parts","TVS / Universal","0","425","500","5"
"83150080","MIRROR ASSY. RH","General Spare Parts","TVS / Universal","0","1963.5","2310","5"
"84150170","MIRROR ASSY L UNPAINTED","General Spare Parts","TVS / Universal","0","2303.5","2710","5"
"84150180","MIRROR ASSY R UNPAINTED","General Spare Parts","TVS / Universal","0","646","760","5"
"84160060","8RKT COMP HEAD LAMP AOL-STREAK","Engine","TVS / Universal","0","425","500","5"
"84170080","CABLE ASSY THROTTLE","Electrical","TVS / Universal","0","1530","1800","5"
"84200030","CRR PAN HEAD SCREW M5x16","Engine","TVS / Universal","0","425","500","5"
"84220360","8RKT COMP","General Spare Parts","TVS / Universal","0","722.5","850","5"
"84220380","BAG HOOK - WEGO","General Spare Parts","TVS / Universal","0","425","500","5"
"85020100","PISTON ASSY DIA 51.0","Engine","TVS / Universal","0","4615.5","5430","5"
"85060050","TCI UNIT ZEST","General Spare Parts","TVS / Universal","0","9562.5","11250","5"
"85070010","DRUM CLUTCH COMP","General Spare Parts","TVS / Universal","0","4165","4900","5"
"85070020","PLATE ASSY PRIMARY DRIVE","General Spare Parts","TVS / Universal","0","7565","8900","5"
"85080220","GEAR OILPUMP DRIVE","Oils & Fluids","TVS / Universal","0","977.5","1150","5"
"85080360","GEAR COMP PRIMARY DRIVEN","General Spare Parts","TVS / Universal","0","7726.5","9090","5"
"85080410","OILPUMP ASSY","Oils & Fluids","TVS / Universal","0","2643.5","3110","5"
"BASCOL","CHAIN SPROCKET KIT -BOXER AR)","General Spare Parts","TVS / Universal","0","2992","3520","5"
"BAS002","CHAIN SPROCKET KIT-BOXER AT)","General Spare Parts","TVS / Universal","0","2992","3520","5"
"BAS003","CHAIN SPROCKET KIT-BOXER CT DELUXE)","General Spare Parts","TVS / Universal","0","2465","2900","5"
"CHAIN","SPROCKET KIT-CALIBER 115)","General Spare Parts","TVS / Universal","0","3077","3620","5"
"BDS001","CHAIN SPROCKET KIT -DISCOVER)","Brakes","TVS / Universal","0","3442.5","4050","5"
"BKS001","CHAIN SPROCKET KIT- Ka 100)","General Spare Parts","TVS / Universal","0","3230","3800","5"
"BPS001","CHAIN SPROCKET KITS-PULSAR 1500 CC)","General Spare Parts","TVS / Universal","0","3179","3740","5"
"BPS002","CHAIN SPROCKET KIT-PU LSAR 180CC)","General Spare Parts","TVS / Universal","0","3179","3740","5"
"BTSOOI","CHAIN SPROCKET KIT-CT 100)","General Spare Parts","TVS / Universal","0","2992","3520","5"
"COSS020","STATOR ASSY-PULSER","Electrical","TVS / Universal","0","3026","3560","5"
"COO","030 LAMP COIL PULSER","Oils & Fluids","TVS / Universal","0","425","500","5"
"COSS040","SOURCE COIL PULSER","Oils & Fluids","TVS / Universal","0","2227","2620","5"
"C1050570","PROTECTOR MUFFLER CAT","General Spare Parts","TVS / Universal","0","3629.5","4270","5"
"C1050790","BODY' MUFFLER COMP","General Spare Parts","TVS / Universal","0","27820.5","32730","5"
"C1050810","MUFFLER SUB ASSY","General Spare Parts","TVS / Universal","0","34858.5","41010","5"
"C1050860","PIPE ASSY BAFFLE","General Spare Parts","TVS / Universal","0","1929.5","2270","5"
"C1080630","GEAR II DRIVEN","General Spare Parts","TVS / Universal","0","3918.5","4610","5"
"C1080650","GEAR II DRIVE","General Spare Parts","TVS / Universal","0","4029","4740","5"
"C1080660","GEAR Ill DRIVEN","General Spare Parts","TVS / Universal","0","5814","6840","5"
"C1080670","GEAR 3rd DRIVE (1ST)","General Spare Parts","TVS / Universal","0","3340.5","3930","5"
"C1150010","MIRROR RH - MAX","General Spare Parts","TVS / Universal","0","1938","2280","5"
"C1150020","MIRROR LH - MAX","General Spare Parts","TVS / Universal","0","1691.5","1990","5"
"C1200020","SCREW","General Spare Parts","TVS / Universal","0","425","500","5"
"C164030","HEAD LAMP ASSY XL/XT","Engine","TVS / Universal","0","3621","4260","5"
"C200020","NEEDLE ROLLER BEARING 16x22x14","General Spare Parts","TVS / Universal","0","807.5","950","5"
"C326010","SPOKE KNIPPLE ASSY INNER XT/CH","General Spare Parts","TVS / Universal","0","425","500","5"
"C326020","SPOKE KNIPPLE ASSY OUTER XT/CH","General Spare Parts","TVS / Universal","0","425","500","5"
"C326050","CHAIN AND SPROCKET KIT - CHAMP","General Spare Parts","TVS / Universal","0","5882","6920","5"
"C326050L","CHAIN AND SPROCKET KIT - CHAMP 1,","General Spare Parts","TVS / Universal","0","586.5","690","5"
"C8060020","SUPPRESSOR CAP ASSY","General Spare Parts","TVS / Universal","0","1037","1220","5"
"C8080200","GUIDE COMP GEARSHIFT","General Spare Parts","TVS / Universal","0","654.5","770","5"
"C8080260","BEARING KICK STARTER DRIVEN G 1,","General Spare Parts","TVS / Universal","0","246.5","290","5"
"CGOG0110","SWINGARM SUB ASSY MAX 100","General Spare Parts","TVS / Universal","0","9817.5","11550","5"
"CGOG0230","AXLE 12*255","General Spare Parts","TVS / Universal","0","1207","1420","5"
"C8100010","STAY COMP R","General Spare Parts","TVS / Universal","0","425","500","5"
"C8100020","STAY COMP L","General Spare Parts","TVS / Universal","0","790.5","930","5"
"C8100180","UPPER BRACKET PAINTED","General Spare Parts","TVS / Universal","0","3672","4320","5"
"C8100210","80 LT","General Spare Parts","TVS / Universal","0","425","500","5"
"C8130030","SEAT ASSY NEW RTR","General Spare Parts","TVS / Universal","0","4156.5","4890","5"
"C8150070","HANDLE BAR - PLATED","General Spare Parts","TVS / Universal","0","3485","4100","5"
"C8160110","COMBINED REGULATOR CUM RELAY","General Spare Parts","TVS / Universal","0","4785.5","5630","5"
"CG010010","CYLINDER COMZ - VE","Engine","TVS / Universal","0","18215.5","21430","5"
"CG040010","CARBURATOR ASSLY_","General Spare Parts","TVS / Universal","0","26885.5","31630","5"
"CG060010","MAGNETO ASSY","General Spare Parts","TVS / Universal","0","29750","35000","5"
"CG150060","GRIP COMP THROTTLE-RH (NEW)","General Spare Parts","TVS / Universal","0","892.5","1050","5"
"CG150070","GRIP LH (NEW)","General Spare Parts","TVS / Universal","0","425","500","5"
"CG160160","LAMP ASSY RC 12 V (NEW)","Electrical","TVS / Universal","0","2805","3300","5"
"0031080","XL / CH CRANKCASE ASSY MACHINED","Engine","TVS / Universal","0","425","500","5"
"0043730","CHAMBER INDUCTION SILENCER","General Spare Parts","TVS / Universal","0","425","500","5"
"0043740","FILTER HOUSING","Filters","TVS / Universal","0","425","500","5"
"0044280","INSERT INDUCTION SILENCER","General Spare Parts","TVS / Universal","0","425","500","5"
"0046050","TOOL aox","General Spare Parts","TVS / Universal","0","1300.5","1530","5"
"0046070","PILOT JET NO","General Spare Parts","TVS / Universal","0","25.5","30","5"
"0046090","O RING","General Spare Parts","TVS / Universal","0","425","500","5"
"0046110","MIXTURE CONTROLLER SCREW","General Spare Parts","TVS / Universal","0","425","500","5"
"0046120","GASKET","Engine","TVS / Universal","0","425","500","5"
"0046130","MIXING CHAMP COVER","General Spare Parts","TVS / Universal","0","416.5","490","5"
"0046140","MAIN JET","General Spare Parts","TVS / Universal","0","42.5","50","5"
"0046190","CARBURETOR ASSY P1104","General Spare Parts","TVS / Universal","0","9231","10860","5"
"0046200","LOCK TOOL aox","General Spare Parts","TVS / Universal","0","2176","2560","5"
"0046220","SEALING RING-CARS","General Spare Parts","TVS / Universal","0","425","500","5"
"0046230","GUIDE BUSH CARBURETTOR","General Spare Parts","TVS / Universal","0","425","500","5"
"0053570","EXHAUST GUARD PAINTED","General Spare Parts","TVS / Universal","0","416.5","490","5"
"0054302","PIPE COMP BAFFLE PAINTED (SPARE)","General Spare Parts","TVS / Universal","0","867","1020","5"
"0054327","SILENCER ASSY SOCC CHAMP","General Spare Parts","TVS / Universal","0","4505","5300","5"
"0062020","SOURCE COIL ELECTRONIC CHAMP","Oils & Fluids","TVS / Universal","0","2822","3320","5"
"0062540","CDI-UNIT-PULSER","General Spare Parts","TVS / Universal","0","7293","8580","5"
"0072790","CL_COVER ASSY COMPXT/CH","General Spare Parts","TVS / Universal","0","1028.5","1210","5"
"0084660","PULLEY COVER","General Spare Parts","TVS / Universal","0","637.5","750","5"
"0085220","PEDAL SHAFT COMPLETE","General Spare Parts","TVS / Universal","0","2150.5","2530","5"
"0085230","CYCLE CHAIN 081 96 LINKS","General Spare Parts","TVS / Universal","0","1666","1960","5"
"0086040","PEDAL CRANK ASSY","Engine","TVS / Universal","0","1793.5","2110","5"
"0086150","V PULLEY ASSY CHAMP SOCC HP (SPARE)","General Spare Parts","TVS / Universal","0","5397.5","6350","5"
"0092750","UPPER CHAIN CASE ASSY PAINTED","General Spare Parts","TVS / Universal","0","2363","2780","5"
"0092760","LOWER CHAIN CASE ASSY PAINTED","General Spare Parts","TVS / Universal","0","2541.5","2990","5"
"D1026700A","FORK COMP FRONT MARBLE RED","General Spare Parts","TVS / Universal","0","5712","6720","5"
"010267000","FRONT FORK COMP HG BLACK","General Spare Parts","TVS / Universal","0","5712","6720","5"
"010267028","FORK COMP FRONT CANDY BLUE (ALTI","General Spare Parts","TVS / Universal","0","5712","6720","5"
"010267088","FORK COMP FRONT DEEP MET BLUE-CHA","General Spare Parts","TVS / Universal","0","1870","2200","5"
"0113473","BACK PLATE REAR- PAINTED","General Spare Parts","TVS / Universal","0","4105.5","4830","5"
"0113508","BRAKE CAM REAR","Brakes","TVS / Universal","0","425","500","5"
"0114150","CHAIN TENSIONER CAM","Brakes","TVS / Universal","0","425","500","5"
"0127420","ICENCE PLATE PAINTED","General Spare Parts","TVS / Universal","0","773.5","910","5"
"0128330","LOCK ASSY STEERING","General Spare Parts","TVS / Universal","0","1428","1680","5"
"01283400A","R MARBLE RED","General Spare Parts","TVS / Universal","0","1887","2220","5"
"012834028","CHAINGUARD+TAPESET R CANDY BLUE (ALTI","General Spare Parts","TVS / Universal","0","1887","2220","5"
"012834088","CHAINGUARD + TAPESET","General Spare Parts","TVS / Universal","0","425","500","5"
"0143080","HOSE FUEL METRO +","General Spare Parts","TVS / Universal","0","425","500","5"
"0143100","FUEL FILTER CHAMP","Filters","TVS / Universal","0","416.5","490","5"
"0151090","HOUSING INSTRUMENT PANEL","General Spare Parts","TVS / Universal","0","595","700","5"
"0163320","ASSY SWITCH STOP LAMP (AIT)","Electrical","TVS / Universal","0","425","500","5"
"0163450","BULB-RC LAMP-6V low","Electrical","TVS / Universal","0","425","500","5"
"0164030","SWITCH BASE ASSY NEW","Electrical","TVS / Universal","0","748","880","5"
"0164290","LAMP ASSY REAR COMBINATION","Electrical","TVS / Universal","0","1538.5","1810","5"
"0164300","HEAD LAMP ASSY","Engine","TVS / Universal","0","2864.5","3370","5"
"0164320","WIRING HARNESS","General Spare Parts","TVS / Universal","0","1819","2140","5"
"02050010","PIPE COMP EXHAUST CHAMP","General Spare Parts","TVS / Universal","0","2643.5","3110","5"
"0210980","PISTON KIT 42.6 1 0/S PLAIN","Engine","TVS / Universal","0","4445.5","5230","5"
"0210990","PISTON KIT 42.6 II O/S PLAIN","Engine","TVS / Universal","0","5023.5","5910","5"
"0211010","DECARB KIT CH60cc","General Spare Parts","TVS / Universal","0","425","500","5"
"0260059","LOGO SET BLUE CH SOCC","General Spare Parts","TVS / Universal","0","688.5","810","5"
"0260069","LOGO SET RED CH SOCC","General Spare Parts","TVS / Universal","0","603.5","710","5"
"0326010","CYLINDER BLOCK & PISTON KIT 55cc","Engine","TVS / Universal","0","12282.5","14450","5"
"0326320","BRAKE SHOE KIT - XT/CH STD","Brakes","TVS / Universal","0","425","500","5"
"046200","LOCK TOOL aox","General Spare Parts","TVS / Universal","0","425","500","5"
"E073060","CLUTCH HSG ASSY WITH BEARING CHAM","General Spare Parts","TVS / Universal","0","3043","3580","5"
"E31000SO","UNDER BRACKET COMP","General Spare Parts","TVS / Universal","0","12911.5","15190","5"
"E312002013A","COVER FRAME R+TAPESET MET BLUE","General Spare Parts","TVS / Universal","0","6205","7300","5"
"E312002013B","COVER FRAME R+TAPESET MET BLUE","General Spare Parts","TVS / Universal","0","5737.5","6750","5"
"ELECBATCHA","Electronic Battery Charger - EP-VAI","Electrical","TVS / Universal","0","19482","22920","5"
"ELECBATCHA-2010","EP_V'AR - 2010 V","General Spare Parts","TVS / Universal","0","40069","47140","5"
"ELECBATCHA-2030","Electronic Battery Charger-2030","Electrical","TVS / Universal","0","33694","39640","5"
"ESD-12MF25","ESDEE BATTERY 12MF2.5","Electrical","TVS / Universal","0","2881.5","3390","5"
"ESD-12MF5-1A","ESDEE BATTERY 12MF5-1A","Electrical","TVS / Universal","0","4768.5","5610","5"
"ESD-12MF5-33","ESDEE BATTERY 12MF5-33","Electrical","TVS / Universal","0","4683.5","5510","5"
"ESD-12MF7-1A","ESDEE BATTERY 12MF7-1A","Electrical","TVS / Universal","0","6613","7780","5"
"ESD-12MF7-2A","ESDEE BATTERY 12MF7-2A","Electrical","TVS / Universal","0","6536.5","7690","5"
"ESD-12MF7-3A","ESDEE BATTERY 12MF7-3A","Electrical","TVS / Universal","0","5924.5","6970","5"
"ESD-12MF9-1A","ESDEE BATTERY 12MF9-1A","Electrical","TVS / Universal","0","7335.5","8630","5"
"ESD-12MF9-2A","ESDEE BATTERY 12MF9-2A","Electrical","TVS / Universal","0","6511","7660","5"
"ESD-12MFV4","ESDEE BATTERY 12MFV4","Electrical","TVS / Universal","0","4275.5","5030","5"
"ESD-12MFV5","ESDEE BATTERY 12MFV5","Electrical","TVS / Universal","0","4641","5460","5"
"ESDEE-12MF5-1A","ESDEE BATTERY 12MF5-1A","Electrical","TVS / Universal","0","10030","11800","5"
"ESDEE-12MF5-33","ESDEE BATTERY 12MF5-33","Electrical","TVS / Universal","0","9860","11600","5"
"ESDEE-12MFV4","ESDEE BATTERY 12MFV4","Electrical","TVS / Universal","0","8984.5","10570","5"
"F020570","CRANKSHAFT ASSY","Engine","TVS / Universal","0","20408.5","24010","5"
"F044040","FILTER COMP","Filters","TVS / Universal","0","425","500","5"
"FOS0220","IGHTING COIL PULSER 12V","Oils & Fluids","TVS / Universal","0","2439.5","2870","5"
"FOS0230","SOURCE COIL PULSER 12V","Oils & Fluids","TVS / Universal","0","1878.5","2210","5"
"FOS0250","SUPPRESSOR CAP ASSY (AIT)","General Spare Parts","TVS / Universal","0","425","500","5"
"F071770","CENTRAL SPRING CLUTCH","General Spare Parts","TVS / Universal","0","425","500","5"
"F080010","V BELT (OBSOLETE)","General Spare Parts","TVS / Universal","0","4828","5680","5"
"F080130","FAN COMPLETE","General Spare Parts","TVS / Universal","0","425","500","5"
"F081870","SPRING KICK STARTE","General Spare Parts","TVS / Universal","0","425","500","5"
"F083940","ROLLER","General Spare Parts","TVS / Universal","0","425","500","5"
"F084010","GASKET OIL DRAIN","Oils & Fluids","TVS / Universal","0","637.5","750","5"
"F084089","PEDAL LEVER PLATED","General Spare Parts","TVS / Universal","0","867","1020","5"
"F084100","WASHER KICKSTARTER LEVER+CIOII","General Spare Parts","TVS / Universal","0","425","500","5"
"F084398","SPROCKET ENGINE 13 T","Engine","TVS / Universal","0","425","500","5"
"F085120","PRIMARY SHEAVE FIXED","General Spare Parts","TVS / Universal","0","2227","2620","5"
"F085230","BOLT OIL DRAIN","Oils & Fluids","TVS / Universal","0","425","500","5"
"FLI3620","BOLT CABLE ABUTMENT","Electrical","TVS / Universal","0","425","500","5"
"F123718","PIVOT PIN STAND","General Spare Parts","TVS / Universal","0","425","500","5"
"F126650","CUSHION STAND","General Spare Parts","TVS / Universal","0","425","500","5"
"FIS0420","LAMP ASSY TURN SIGNAL","Electrical","TVS / Universal","0","425","500","5"
"FIS0490","BULB LAMP 12 V 5 W","Electrical","TVS / Universal","0","425","500","5"
"FIS0610","SWITCH ASSY IGNITION","Electrical","TVS / Universal","0","3400","4000","5"
"F170010","CABLE ASSY BRAKE FRONT","Brakes","TVS / Universal","0","1071","1260","5"
"F170020","CABLE ASSY BRAKE REAR","Brakes","TVS / Universal","0","1105","1300","5"
"F170130","CABLE ASSY THROTTLE","Electrical","TVS / Universal","0","1547","1820","5"
"F170140","STARTER CABLE","Electrical","TVS / Universal","0","425","500","5"
"F200030","BALL BEARING 15x35x11 Cs 6202","General Spare Parts","TVS / Universal","0","1802","2120","5"
"F200040","OIL SEAL SHAFT DRIVEN","Oils & Fluids","TVS / Universal","0","425","500","5"
"F200058","CRPH SCR M5x35 6.8 ZNC ZEST","General Spare Parts","TVS / Universal","0","425","500","5"
"F200098","CRPH SCR M5X20 ZNB","General Spare Parts","TVS / Universal","0","425","500","5"
"F200140","CYLINDER STUD","Engine","TVS / Universal","0","425","500","5"
"F200230","OIL SEAL","Oils & Fluids","TVS / Universal","0","425","500","5"
"F300060","MUDFLAP","General Spare Parts","TVS / Universal","0","425","500","5"
"F310170","HOLDER MAGNETO","General Spare Parts","TVS / Universal","0","2193","2580","5"
"F310240","ASSY TOOL CLUTCH","General Spare Parts","TVS / Universal","0","17289","20340","5"
"G055070","END CAP COMP PAINTED","General Spare Parts","TVS / Universal","0","399.5","470","5"
"G4041100","CLAMP TUBE OUTLET","Electrical","TVS / Universal","0","425","500","5"
"G4041110","CLAMP PIPE INTAKE","Electrical","TVS / Universal","0","425","500","5"
"G4161SOO","MOBILE CHARGER Usa","General Spare Parts","TVS / Universal","0","4454","5240","5"
"G4200070","HEX FLANGE BOLT","General Spare Parts","TVS / Universal","0","425","500","5"
"G4320290","SCREW FLOAT CHAMBER - PHOENIX","General Spare Parts","TVS / Universal","0","425","500","5"
"G5200280","PUNCHED WASHER 8.5 x 25 x","General Spare Parts","TVS / Universal","0","1.7","2","5"
"G5320480","MAIN JET - WEGO","General Spare Parts","TVS / Universal","0","425","500","5"
"G7200070","COPPER WASHER 100 160","General Spare Parts","TVS / Universal","0","8.5","10","5"
"HELMAT","HALF FACE","General Spare Parts","TVS / Universal","0","2082.5","2450","5"
"HCSOOL","CHAIN SPROCKET KIT-CBZ)","General Spare Parts","TVS / Universal","0","3961","4660","5"
"HPS001","CHAIN SPROCKET KIT- PASSION)","General Spare Parts","TVS / Universal","0","3425.5","4030","5"
"HSSOO","CHAIN SPROCKET KIT -SPLENDOR)","General Spare Parts","TVS / Universal","0","3425.5","4030","5"
"IVS60PA","RACING 2T 40ML","General Spare Parts","TVS / Universal","0","807.5","950","5"
"IVS60PN","RACING 2T 05ML","General Spare Parts","TVS / Universal","0","425","500","5"
"IVS620A2","CHAMP 4T","General Spare Parts","TVS / Universal","0","867","1020","5"
"IVS621D","VALVOLINE OIL 210 LTR","Oils & Fluids","TVS / Universal","0","230137.5","270750","5"
"IVS62KA","CHAMP 4T 20W40","General Spare Parts","TVS / Universal","0","425","500","5"
"IVS68PKC","FRONT FORK OIL","Oils & Fluids","TVS / Universal","0","425","500","5"
"JOG0140","CHAIN CASE COMP UPPER","General Spare Parts","TVS / Universal","0","3332","3920","5"
"JOGOL","70 CHAIN CASE COMP-LOWER","General Spare Parts","TVS / Universal","0","3179","3740","5"
"JOG0260","DUMMY CHAIN COVER","General Spare Parts","TVS / Universal","0","425","500","5"
"JOG0450","SWING ARM COMP","General Spare Parts","TVS / Universal","0","7973","9380","5"
"J1000502G","FRONT FORK COMP.w LACQRD (sp)","General Spare Parts","TVS / Universal","0","6664","7840","5"
"J120S502G","COVER SIDE L WINE RED LACQUERED","General Spare Parts","TVS / Universal","0","3638","4280","5"
"J120S902G","COVER FRAME L WINE RED LACQUERED","General Spare Parts","TVS / Universal","0","2414","2840","5"
"J1204002G","COVER FRAME R WINE RED LACQUERED","General Spare Parts","TVS / Universal","0","2414","2840","5"
"J1207802G","HSG HEAD LAMP RR WINE RED LACQD","Engine","TVS / Universal","0","8279","9740","5"
"J1208802G","COVER HEAD LAMP HSG WINE RED","Engine","TVS / Universal","0","425","500","5"
"J1400102G","TANK COMP FUEL WINE RED LACQUERED","General Spare Parts","TVS / Universal","0","12648","14880","5"
"12103601","D COVER SIDE RH CH.GREY","General Spare Parts","TVS / Universal","0","2805","3300","5"
"J210S602G","COVER SIDE RH W.RED","General Spare Parts","TVS / Universal","0","2805","3300","5"
"K010160","DAMPER CYLINDER HEAD","Engine","TVS / Universal","0","425","500","5"
"K06012000","BATTERY 12V 5Ah (ALTI","Electrical","TVS / Universal","0","4097","4820","5"
"K060130","STARTER RELAY ASSY","General Spare Parts","TVS / Universal","0","1989","2340","5"
"K060200","IGNITION COIL ASSY","Oils & Fluids","TVS / Universal","0","4496.5","5290","5"
"K060490","IGNITION-CUM CDI COIL","Oils & Fluids","TVS / Universal","0","2983.5","3510","5"
"K070010","HOUSING CLUTCH","General Spare Parts","TVS / Universal","0","2898.5","3410","5"
"K070170","CLUTCH ASSY","General Spare Parts","TVS / Universal","0","12911.5","15190","5"
"K080010","VARIAMATIC BELT","General Spare Parts","TVS / Universal","0","6655.5","7830","5"
"K080030","RATCHET NUT K S","General Spare Parts","TVS / Universal","0","1742.5","2050","5"
"K080120","COVER VARIATOR MACHINED","General Spare Parts","TVS / Universal","0","11186","13160","5"
"K080320","SHIM 8 x 16 x","General Spare Parts","TVS / Universal","0","425","500","5"
"K080410","SHIM 15x27xo 5 OILED [TSDS0402]","Oils & Fluids","TVS / Universal","0","425","500","5"
"K080420","SHAFT INTERMEDIATE OLD 13T","General Spare Parts","TVS / Universal","0","11942.5","14050","5"
"K080460","RETAINER STOPPER OIL SEAL","Oils & Fluids","TVS / Universal","0","425","500","5"
"K080530","SPRING GEAR K s DRIVEN","General Spare Parts","TVS / Universal","0","425","500","5"
"K080640","SHAFT REAR WHEEL 18T","General Spare Parts","TVS / Universal","0","12350.5","14530","5"
"KOBI","100 RETAINER OIL SEAL L","Oils & Fluids","TVS / Universal","0","425","500","5"
"K081730","COVER ROLLER","General Spare Parts","TVS / Universal","0","425","500","5"
"KOG0030","TUBE INNER SHOCK ABSORBER EYELET","General Spare Parts","TVS / Universal","0","425","500","5"
"K100570","CONE TOP","General Spare Parts","TVS / Universal","0","425","500","5"
"K101430","CUP TOP","General Spare Parts","TVS / Universal","0","816","960","5"
"K110370","HUB DRIVE","General Spare Parts","TVS / Universal","0","1079.5","1270","5"
"K110470","SPRING REAR BRAKE CABLE","Brakes","TVS / Universal","0","425","500","5"
"K110550","HUB COMP RR WHEEL PAINTED-18SPLlNES","General Spare Parts","TVS / Universal","0","10055.5","11830","5"
"K1200040","BALL BEARING ( 804984-FAG)","General Spare Parts","TVS / Universal","0","1572.5","1850","5"
"K120550","STEERING / IGN LOCK","General Spare Parts","TVS / Universal","0","5797","6820","5"
"K122810","CUSHION COVER FRAM","General Spare Parts","TVS / Universal","0","425","500","5"
"K124850","LOCK SET scooTY","General Spare Parts","TVS / Universal","0","2422.5","2850","5"
"K130110","ASSY SEAT LOCK","General Spare Parts","TVS / Universal","0","782","920","5"
"K130190","STOPPER SEAT","General Spare Parts","TVS / Universal","0","425","500","5"
"K140460","FILTER FUEL OUTLET","Filters","TVS / Universal","0","425","500","5"
"K140720","HOSE FUEL","General Spare Parts","TVS / Universal","0","416.5","490","5"
"K140780","HOSE FUEL MAIN","General Spare Parts","TVS / Universal","0","119","140","5"
"K140820","HOSE CLIP","General Spare Parts","TVS / Universal","0","425","500","5"
"K150150","BRAKE LEVER (ALTI","Brakes","TVS / Universal","0","892.5","1050","5"
"K150340","BRAKE LEVER 'R","Brakes","TVS / Universal","0","892.5","1050","5"
"K150420","CASE THROTTLE UPPER","General Spare Parts","TVS / Universal","0","425","500","5"
"K150430","CASE THROTTLE LOWER","General Spare Parts","TVS / Universal","0","357","420","5"
"K160240","SWITCH ASSY STOP LAMP REAR - PEP*","Electrical","TVS / Universal","0","425","500","5"
"K160500","SWITCH BEAM CONTROL","Electrical","TVS / Universal","0","425","500","5"
"K160510","SWITCH LIGHTING","Electrical","TVS / Universal","0","425","500","5"
"K160640","ELECTRONIC BEEPER","General Spare Parts","TVS / Universal","0","1028.5","1210","5"
"K170020","CABLE ASSY THROTTLE","Electrical","TVS / Universal","0","765","900","5"
"K170030","CABLE ASSY BRAKE REAR","Brakes","TVS / Universal","0","748","880","5"
"K170040","CABLE ASSY STARTER","Electrical","TVS / Universal","0","1071","1260","5"
"K170050","CABLE ASSY SPEEDOMETER","Electrical","TVS / Universal","0","1147.5","1350","5"
"K200010","NEEDLE ROLLER BEARING 10x16x12","General Spare Parts","TVS / Universal","0","425","500","5"
"K200020","NEEDLE ROLLER BEARING 15x21x12","General Spare Parts","TVS / Universal","0","425","500","5"
"K2000SO","CIRCLIP 42*1.75 N IS:3075 INT","General Spare Parts","TVS / Universal","0","425","500","5"
"K200120","CIRCLIP 47x2 H IS:3075 INT-TSDS0411","General Spare Parts","TVS / Universal","0","425","500","5"
"K200160","HEX NUT MIO 8 ZNG","General Spare Parts","TVS / Universal","0","425","500","5"
"K200200","HEX SCREW MIOX25 88 ZNS (ALTI","General Spare Parts","TVS / Universal","0","425","500","5"
"K200210","OIL SEAL CR SHAFT R","Oils & Fluids","TVS / Universal","0","425","500","5"
"K200220","BALL BEARING 12x24x6 C3 6301 (ALTI","General Spare Parts","TVS / Universal","0","2694.5","3170","5"
"K200260","REC CSK HD SCR M4x6 6.6 ZNa-Tsos","General Spare Parts","TVS / Universal","0","425","500","5"
"K200280","OIL SEAL WHEEL SHAFT","Oils & Fluids","TVS / Universal","0","425","500","5"
"K200300","CRR PAN HD TAP SCR STS_5X16 ZNK","General Spare Parts","TVS / Universal","0","425","500","5"
"K200320","CRR PAN HD TAP SCR ST4_2X16 ZNK","General Spare Parts","TVS / Universal","0","425","500","5"
"K200370","PUNCHED WASHER 15x33Ex3.15 ZNS (AIT)","General Spare Parts","TVS / Universal","0","425","500","5"
"K200410","M 14 X LSU- NUT","General Spare Parts","TVS / Universal","0","1691.5","1990","5"
"K200500","HEX BOLT MIOX45 129 P (ACT)","General Spare Parts","TVS / Universal","0","425","500","5"
"K200520","CRPH SCR M5x10 6.8 ZNK (ALTI","General Spare Parts","TVS / Universal","0","425","500","5"
"K200540","HEX SCREW M6X38 88 ZNB","General Spare Parts","TVS / Universal","0","425","500","5"
"K200570","U NUT lox F LANGED","General Spare Parts","TVS / Universal","0","620.5","730","5"
"K200630","OIL SEAL CS -R","Oils & Fluids","TVS / Universal","0","382.5","450","5"
"K200690","HEX NUT MIO 8 ZNS","General Spare Parts","TVS / Universal","0","425","500","5"
"K200700","CRPH SCR M6x25 8.8 ZNBH","General Spare Parts","TVS / Universal","0","425","500","5"
"K2010010","COVER CYL HD","General Spare Parts","TVS / Universal","0","5924.5","6970","5"
"K2010060","PLATE BREATHER","General Spare Parts","TVS / Universal","0","425","500","5"
"K2010070","GASKET PLATE BREATHER","Engine","TVS / Universal","0","425","500","5"
"K2010080","CYLINDER HEAD ASSY. KIT","Engine","TVS / Universal","0","47268.5","55610","5"
"K2010090","SPACER CAMSHAFT","Brakes","TVS / Universal","0","425","500","5"
"K2010120","HEAD COMP CYLINDER","Engine","TVS / Universal","0","25712.5","30250","5"
"K2010160","CYLINDER COMP","Engine","TVS / Universal","0","11721.5","13790","5"
"K20101607D","CYLINDER BLOCK COMP GLOSSY TITAN GREY","Engine","TVS / Universal","0","12146.5","14290","5"
"K20101807D","CYLINDER HEAD COMP GLOSSY TITAN GREY","Engine","TVS / Universal","0","30974","36440","5"
"K2010190","PACKING SEAL, COVER CYLINDER","Engine","TVS / Universal","0","1105","1300","5"
"K2010220","COVER CYL HEAD","Engine","TVS / Universal","0","2932.5","3450","5"
