"no","name","cat","model","qty","cost","price","min"
"0335578","PUNCHED WASHER s_5x13.oxL0 ZNB","General Spare Parts","TVS / Universal","0","425","500","5"
"0335608","PUNCHED WASHER s_5x16.oxL2 ZNB","General Spare Parts","TVS / Universal","0","425","500","5"
"0335628","PUNCHED WASHER","General Spare Parts","TVS / Universal","0","425","500","5"
"0335698","PUNCHED WASHER","General Spare Parts","TVS / Universal","0","425","500","5"
"0335708","PUNCH WASHER","General Spare Parts","TVS / Universal","0","425","500","5"
"0335714","SHIM 16x30_5xo.5 OILED [Tsos 0402]","Oils & Fluids","TVS / Universal","0","425","500","5"
"0335806","LOCK WASHER CL SIV HUB","General Spare Parts","TVS / Universal","0","425","500","5"
"0335816","LOCK WASHER ENG SPRKT","General Spare Parts","TVS / Universal","0","425","500","5"
"0335876","PUNCHED WASHER s_5x24.ox16 ZNC","General Spare Parts","TVS / Universal","0","425","500","5"
"0335928","PUNCHED WASHER s_5x18.ox16 ZNB","General Spare Parts","TVS / Universal","0","425","500","5"
"0336018","PUNCHED WASHER 8_5x20x2 ZNS (ACT)","General Spare Parts","TVS / Universal","0","425","500","5"
"0339020","BEARING PISTON PIN","Engine","TVS / Universal","0","1929.5","2270","5"
"0339030","BALL BEARING 25x52x15 C3H 6205 2,","General Spare Parts","TVS / Universal","0","586.5","690","5"
"0339040","BALL BEARING 20x52x15 Cs 6304","General Spare Parts","TVS / Universal","0","2346","2760","5"
"0339060","BALL BEARING 12x28x8 C3 6001","General Spare Parts","TVS / Universal","0","1232.5","1450","5"
"0339070","BALL BEARING 20x47x14 Cs 6204","General Spare Parts","TVS / Universal","0","2550","3000","5"
"0339080","BALL BEARING 10x30xg C3 6200","General Spare Parts","TVS / Universal","0","1623.5","1910","5"
"0339100","BALL BEARING 12x32x10 6201Z","General Spare Parts","TVS / Universal","0","1972","2320","5"
"0339110","BALL BEARING 12x37x12 Cs ssolz","General Spare Parts","TVS / Universal","0","2252.5","2650","5"
"0339130","BEARING KICK STARTER DRIVEN GEAR (ALTI","General Spare Parts","TVS / Universal","0","425","500","5"
"0339204","BALL KICK STARTER 7/32","General Spare Parts","TVS / Universal","0","425","500","5"
"0339310","BUSH PRIMARY DRIVEN GEAR","General Spare Parts","TVS / Universal","0","425","500","5"
"0339330","BUSH DRIVE SHAFT","General Spare Parts","TVS / Universal","0","425","500","5"
"0339480","BALL BEARING 20x42x12 Cs","General Spare Parts","TVS / Universal","0","5103.4","6004","5"
"105172700","EXH_TU3E ASSY CH. PLATED","General Spare Parts","TVS / Universal","0","2992","3520","5"
"105174700","EXHAUST TUBE ASSY - PLATED(MOD)","General Spare Parts","TVS / Universal","0","2992","3520","5"
"1057067","RING PISTON EXPANDER","Engine","TVS / Universal","0","425","500","5"
"1082220","REED VALVE ASSY","Engine","TVS / Universal","0","3961","4660","5"
"1082330","PUMP ASSLY OIL","Oils & Fluids","TVS / Universal","0","10378.5","12210","5"
"1087020","CARBURATOR ASSY","General Spare Parts","TVS / Universal","0","23358","27480","5"
"1092120","STATOR ASSY 12V","Electrical","TVS / Universal","0","3672","4320","5"
"1092130","COIL LIGHTING-12V","Oils & Fluids","TVS / Universal","0","7072","8320","5"
"1092140","STATOR PLATE 12V","Electrical","TVS / Universal","0","2040","2400","5"
"1092220","SWINGARM SUB ASSY MAX R","General Spare Parts","TVS / Universal","0","10642","12520","5"
"109236800","SWINGARM COMP","General Spare Parts","TVS / Universal","0","6069","7140","5"
"1096980","REGULATOR COMPLETE","General Spare Parts","TVS / Universal","0","8925","10500","5"
"1097470","BATTERY ASSY 12V - 25 AMPS (ALTI","Electrical","TVS / Universal","0","10786.5","12690","5"
"1097510","IGNITION SWITCHAssy 12VSOW","Electrical","TVS / Universal","0","425","500","5"
